Run	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[clinical information]	Sample Characteristic Ontology Term[clinical information]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[clinical information]	Factor Value Ontology Term[clinical information]	Analysed
SRR886565	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886566	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886567	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886568	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886569	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886570	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886571	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886572	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886573	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886574	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886575	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886576	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886577	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886578	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886579	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886580	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886581	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886582	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886583	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886584	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886585	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886586	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
